CID,item_type_id,item_type,size,date,Category,grade,outlet_id,qtym,Net Price,tmtm,division,item_type_id,rm,wire,noc,tlcolt,ecoInd,Area (km)^2,dfc,population,literacy_rate,pcx,uses,appliation group
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1008,200,3495.6,370,12,186,1,1,7,300,High,4363,171.1,6598719,0.353,68,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1010,800,12098.66,1480,48,558,3,3,7,150,Medium,2492,398.5,3078190,0.782,28.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1015,1500,26217,2775,13,186,1,1,6,300,High,4394,219.2,2756398,0.801,60.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2191,1500,26217,2775,28,372,2,2,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2227,400,6991.2,740,34,372,2,2,3,350,High,2407,249.2,3136413,0.759,47.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2491,200,2913,370,10,186,1,1,4,120,Medium,7,14,179907,0.779,90.49,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2561,1700,25750.92,3145,60,930,5,5,4,280,Medium,2689,114.4,3764791,0.353,40.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3060,400,6292.08,740,30,558,3,3,4,250,Medium,171.1,18,794360,1,58.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3179,700,10486.8,1295,64,744,4,4,2,200,Medium,483.97,218,298528,2.033,53.87,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3323,100,1747.8,185,13,186,1,1,5,250,Medium,1961,195.4,2204351,0.798,62,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3416,200,3495.6,370,18,186,1,1,5,250,Low,2179,254.7,3104974,0.258,64.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3442,300,5243.4,555,36,372,2,2,4,280,Medium,1810,386.6,1735062,0.674,49.43,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3556,100,1514.76,185,13,186,1,1,5,175,Medium,1177,232.5,1355313,0.351,40.88,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3632,500,7690.32,925,24,372,2,2,4,150,Low,2810,154.2,2839136,0.488,34.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3719,400,6991.2,740,32,372,2,2,6,100,High,246,259,431748,0.782,57.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,1002,100,1475.92,185,10,186,1,1,4,180,Medium,683.04,29,3658027,0.506,51.75,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,1003,1400,20391,2590,22,372,2,2,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,1004,2100,29770.86,3885,32,372,2,2,7,425,High,5283,253,9352719,0.46,58.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,1005,1000,17478,1850,15,186,1,1,3,300,High,1800,26,4262296,1.047,56.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,1006,100,1495.34,185,13,186,1,1,7,350,Medium,2567,183.1,3318750,0.429,56.52,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,1015,2900,50686.2,5365,26,372,2,2,6,300,High,4394,219.2,2756398,0.801,60.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,2191,1100,19225.8,2035,28,372,2,2,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,2224,200,2718.8,370,18,186,1,1,6,350,High,2368,296.4,3578693,0.674,48.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,2227,600,10486.8,1110,34,372,2,2,3,350,High,2407,249.2,3136413,0.759,47.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,2561,200,3029.52,370,12,186,1,1,4,280,Medium,2689,114.4,3764791,0.353,40.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,2666,500,7476.7,925,11,186,1,1,5,200,High,36,164,132948,0.643,51.77,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),03-08-22,Domestic,Grade1,2772,200,2990.68,370,11,186,1,1,3,150,Medium,189,102,330477,0.421,60.06,Fan & Lighting Connection,General
